"uuid","skill_name","level"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Application Security","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Arduino","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","Arduino","INTERMEDIATE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","ASP","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","ASP","ADVANCED"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","ASP","NOVICE"
"5954d235-8fb1-4af8-8613-67aac403049e","Augmented Reality","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Auth Protocols","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Auth Protocols","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","Auth Protocols","INTERMEDIATE"
"cd9974b9-da79-4b19-af78-fefac8849238","Auth Protocols","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AW STS","EXPERT"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AW STS","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS","EXPERT"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","AWS","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","AWS","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS API Gateway","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Appsync","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Athena","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS Athena","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS Athena","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Aurora","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS Aurora","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS Aurora","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS CDK","NOVICE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS CDK","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS CDK","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS CDK","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Cloudformation","EXPERT"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS Cloudformation","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS Cloudformation","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS Cloudformation","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS Cloudformation","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS Cloudformation","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Cloudfront","EXPERT"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS Cloudfront","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS Cloudfront","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS Cloudfront","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS Cloudfront","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Cloudwatch","EXPERT"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS Cloudwatch","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS Cloudwatch","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS Cloudwatch","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS Cloudwatch","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS Cloudwatch","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS CodeBuild","EXPERT"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS CodeBuild","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS CodeBuild","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS CodeBuild",
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS CodeDeploy","EXPERT"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS CodeDeploy","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS CodeDeploy","NOVICE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS CodeDeploy","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS CodePipeline","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS CodePipeline","NOVICE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS CodePipeline","NOVICE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","aws cognito","NOVICE"
